SkillConfig 		技能配置
SecretConfig    	秘境配置
MarkerConfig    	印记配置
FrontierConfig		边境配置
ChatConfig		聊天配置
GuildDineConfig 	帮会活动
DynamicConfig		运营活动
FriendConfig		好友配置
MailConfig		邮件配置
ArenaConfig		竞技场配置
EnvirValueConfig	常量配置
PropRefreshConfig	属性刷新配置
ResetTimerConfig	时间重置配置
CapitalConfig		货币配置
CooldownConfig		CD配置
DropConfig		掉落包配置
GlobalRankConfig	全服排行榜
RankListConfig		排行榜配置
ShopConfig		商店配置
StaticDataConfig	属性包配置
VoiceConfig		语音配置
CompensateConfig	离线补偿配置
OfferRewardConfig	悬赏配置
OffLineConfig		离线系统配置
RevengeArenaConfig	生死擂配置
Guide			引导
ActivateFunction	功能开启
PrisonerConfig		囚禁配置
FlySkillConfig		轻功配置
WorldBossConfig		世界boss配置
BossRefreshConfig	野外boss配置
SceneInfoConfig		场景数据
VipConfig		VIP配置
PublicShopConfig	商城配置
LevelConfig		等级配置
ContainerConfig		容器配置
WorshipConfig		膜拜配置
PushConfig		推送配置
SoulConfig		灵魂附魔配置
FashionConfig		时装配置
GuildConfig		工会配置
TeamConfig		组队配置
ReviveManagerConfig	复活配置
MapConfig		小地图配置
DynamicActConfig	运营活动
MeridianConfig		经脉配置
SkillUpgradeConfig	技能升级配置
RedPacketConfig		红包配置
CampaignConfig		活动配置
TimeLimitSceneConfig 	剑洲限时活动场景配置
TeamOfferModule		组队悬赏
SevenDayConfig  	七日目标配置
DynamicActTime		运营活动时间
